,Point_0,Point_1,Point_2,Point_3,Point_4,Point_5,Point_6,Point_7,Point_8,Point_9,Point_10,Point_11,Point_12,Point_13,Point_14,Point_15,Point_16,Point_17,Point_18,Point_19,Point_20,Point_21,Point_22,Point_23,Point_24,Point_25,Point_26,Point_27,Point_28,Point_29,Point_30,Point_31,Point_32,Point_33,Point_34,Point_35,Point_36,Point_37,Point_38,Point_39,Point_40,Point_41,Point_42,Point_43,Point_44,Point_45,Point_46,Point_47,Point_48,Point_49,Point_50,Point_51,Point_52,Point_53,Point_54,Point_55,Point_56,Point_57,Point_58,Point_59,Point_60,Point_61,Point_62,Point_63,Point_64,Point_65,Point_66,Point_67,Point_68,Point_69,Point_70,Point_71,Point_72,Point_73,Point_74,Point_75,Point_76,Point_77,Point_78,Point_79,Point_80,Point_81,Point_82,Point_83,Point_84,Point_85,Point_86,Point_87,Point_88,Point_89,Point_90,Point_91,Point_92,Point_93,Point_94,Point_95,Point_96,Point_97,Point_98,Point_99,Point_100,Point_101,Point_102,Point_103,Point_104,Point_105,Point_106,Point_107,Point_108,Point_109,Point_110,Point_111,Point_112,Point_113,Point_114,Point_115,Point_116,Point_117,Point_118,Point_119,Point_120,Point_121,Point_122,Point_123,Point_124
Point_41,2030.0,2962.3,1975.1,2253.9,2145.9,2070.4,1937.2,1406.6,1216.1,1885.1,1688.9,1799.3,2081.7,3138.6,2161.2,2687.7,1503.2,2363.9,1404.0,1809.0,2088.3,1650.8,1587.3,1355.1,1441.1,1242.9,1579.0,1681.3,2757.3,3283.3,2405.9,2344.8,1827.4,3750.0,1137.7,850.6,767.0,574.9,791.9,981.0,812.1,0.0,247.2,2801.1,2993.4,2863.1,2668.9,3228.7,3007.7,3612.6,2750.7,4474.7,4304.5,2841.5,4017.5,4169.8,4484.2,2868.9,3128.0,3149.2,2914.0,3158.1,3119.6,2935.3,811.1,1982.7,2094.2,2237.3,2306.2,3125.4,2156.3,1881.7,1603.6,1007.5,2197.6,2355.4,2014.8,2480.9,1650.8,1303.7,2160.0,926.1,1607.5,1393.3,1867.5,1315.9,3606.9,413.0,1193.7,2248.8,2176.5,3119.4,2539.7,1161.9,2234.8,3726.3,2456.7,2876.8,2729.1,2256.6,2023.7,2319.2,1714.6,1624.1,1880.5,2134.1,1238.3,1787.4,2605.9,2320.8,1817.3,2065.7,1977.1,2457.9,2330.1,2756.1,2224.5,2583.5,1373.6,2559.7,2291.1,2091.5,2799.3,2442.4,2894.8
Point_42,1782.8,2715.1,1727.9,2006.7,1898.7,1823.2,1690.0,1159.4,968.9,1637.9,1441.7,1552.1,1834.5,2891.4,1914.0,2440.5,1255.9,2116.7,1156.8,1561.8,1841.1,1403.5,1340.1,1107.9,1193.9,995.7,1331.8,1434.1,2510.1,3036.1,2158.7,2097.6,1580.2,3502.8,890.5,728.9,566.5,453.2,544.7,733.8,564.9,247.2,0.0,2553.9,2746.2,2615.9,2421.7,2981.5,2760.5,3365.4,2503.5,4227.5,4057.3,2594.2,3770.3,3922.6,4237.0,2621.7,2880.8,2902.0,2666.8,2910.9,2872.4,2688.1,563.9,1735.5,1847.0,1990.1,2059.0,2878.2,1909.1,1634.5,1356.4,760.3,1950.3,2108.2,1767.6,2233.7,1403.6,1056.5,1912.8,678.9,1360.3,1146.1,1620.3,1068.7,3359.7,291.3,946.5,2001.6,1929.3,2872.2,2292.5,914.7,1987.6,3479.1,2209.5,2629.6,2481.9,2009.4,1776.5,2072.0,1467.4,1376.9,1633.2,1886.9,991.1,1540.2,2358.7,2073.6,1570.1,1818.5,1729.9,2210.7,2082.9,2508.9,1977.3,2336.3,1126.4,2312.5,2043.9,1844.3,2552.1,2195.2,2647.5
Point_43,1147.2,2079.4,1761.9,2040.7,1932.7,1747.8,2258.3,2187.4,1996.9,1671.9,2010.0,2468.3,2402.8,2671.5,2482.3,2648.2,1824.2,1969.1,2072.9,1595.8,1875.1,1971.8,1908.4,2024.1,2110.0,1911.9,2248.0,2350.2,1874.5,2816.2,1002.3,941.2,510.5,1429.8,1554.4,1804.6,2563.7,2592.1,2311.6,2481.7,2312.8,2784.6,2537.4,0.0,192.3,62.0,132.2,1054.8,833.8,1438.7,576.8,2300.8,871.2,667.6,1158.3,876.2,752.7,523.7,327.0,393.8,112.9,357.0,341.5,307.5,1973.5,769.3,690.6,833.6,902.6,951.5,752.7,478.1,756.1,2058.7,162.2,487.4,344.9,612.8,1969.6,2074.9,970.8,2088.6,1010.2,1224.5,1526.9,1431.8,1433.0,2597.4,1915.4,859.5,983.6,945.5,468.4,2133.9,831.2,789.6,1165.4,1585.5,1437.8,1373.7,951.2,1436.3,1501.4,1175.4,997.6,842.8,1557.2,1338.7,1314.6,594.6,1353.5,1137.9,1094.2,1575.1,1257.6,1713.8,933.2,1700.6,1694.6,1676.8,999.8,1208.6,1916.5,1151.1,2011.9
Point_44,1339.5,2271.7,1954.1,2233.0,2125.0,1940.1,2450.6,2379.7,2189.2,1864.1,2202.3,2660.6,2595.1,2863.8,2674.6,2840.5,2016.5,2161.4,2265.2,1788.1,2067.3,2164.1,2100.7,2216.4,2302.3,2104.2,2440.2,2542.5,2066.7,3008.5,1402.0,1534.7,702.8,1237.5,2138.8,2389.0,2756.0,2784.3,2503.9,2674.0,2505.1,2976.9,2729.7,192.3,0.0,130.3,324.5,862.5,641.5,1246.4,384.5,2108.5,678.9,475.3,966.0,696.4,560.4,331.4,134.7,507.9,305.2,229.1,306.6,490.9,2165.8,961.6,882.9,1025.9,1574.5,759.2,945.0,670.3,948.4,2251.0,354.5,679.6,537.2,805.1,2161.9,2267.2,1163.1,2280.9,1594.6,1808.9,1334.6,2016.2,1240.7,2789.7,2107.7,1051.8,1175.8,753.3,276.1,2326.2,1023.5,577.5,1357.7,1777.8,1630.1,1566.0,1143.5,1628.6,1693.7,1367.7,1189.9,1035.1,1749.4,1530.9,1506.9,786.9,1545.8,1330.2,1286.5,1767.3,1449.9,1906.1,1125.5,1892.9,1886.9,1869.1,1192.1,1400.9,2108.7,1343.4,2204.2
Point_45,1209.2,2141.5,1823.9,2102.7,1994.7,1809.8,2320.3,2249.5,2058.9,1733.9,2072.0,2530.3,2464.8,2733.5,2544.3,2710.3,1886.3,2031.1,2135.0,1657.8,1937.1,2033.9,1970.4,2086.1,2172.0,1973.9,2310.0,2412.3,1936.5,2878.2,1064.3,1003.2,572.5,1367.8,2700.4,1866.6,2625.8,2654.1,2373.6,2543.7,2374.8,2846.7,2599.5,62.0,130.3,0.0,194.3,992.7,771.7,1376.7,514.8,2238.8,809.2,605.5,1096.3,826.7,690.7,461.7,260.1,455.8,174.9,294.9,372.4,369.5,2035.6,831.3,752.6,895.7,964.6,889.5,814.7,540.1,818.2,2120.7,224.2,549.4,407.0,674.9,2031.7,2136.9,1032.9,2150.6,1072.3,1286.5,1464.9,1493.9,1371.0,2659.4,1977.5,921.6,1045.6,883.5,406.3,2195.9,893.2,707.7,1227.4,1647.6,1499.8,1435.8,1013.2,1498.4,1563.4,1237.4,1059.6,904.8,1619.2,1400.7,1376.6,656.6,1415.5,1200.0,1156.3,1637.1,1319.6,1775.9,995.3,1762.7,1756.7,1738.9,1061.8,1270.6,1978.5,1213.2,2073.9
Point_46,1015.0,1947.2,1629.6,1908.5,1800.5,1615.6,2126.1,2055.2,1864.7,1539.6,1877.8,2336.0,2270.6,2539.3,2350.1,2516.0,1692.0,1836.9,1940.7,1463.6,1742.8,1839.6,1776.1,1891.9,1977.8,1779.7,2115.7,2218.0,1742.2,2684.0,1134.5,1073.4,642.7,1865.8,2506.2,2760.6,2431.5,2459.8,2179.4,2349.5,2180.6,2652.4,2405.2,132.2,324.5,194.3,0.0,1187.0,966.0,1570.9,709.0,2433.0,1003.4,799.8,1290.5,962.7,884.9,655.9,459.2,480.3,245.1,528.2,450.7,266.5,1841.3,901.5,822.8,965.9,1034.8,1083.8,884.9,610.3,888.3,1926.5,294.4,619.6,477.1,745.0,1837.4,1942.7,1103.1,1956.3,1142.4,1356.7,1659.1,1564.1,1565.3,2465.1,1783.2,991.7,1580.5,1077.8,600.6,2001.7,963.4,876.1,1033.1,1453.3,1305.6,1241.5,819.0,1304.1,1369.2,1043.2,865.4,710.6,1424.9,1206.4,1182.3,726.8,1221.3,1005.7,962.0,1442.8,1125.4,1581.6,801.0,1568.4,1562.4,1544.6,867.6,1076.4,1784.2,1018.9,1879.7
Point_47,2588.9,4724.0,2533.9,2812.7,2704.8,2629.2,2496.1,2410.2,2219.6,2443.9,2247.8,2691.0,2640.5,3443.6,2720.1,2886.0,2062.0,2922.7,2295.7,2367.8,2647.1,2209.6,2146.1,2246.8,2210.4,2134.7,2470.7,2573.0,4519.0,3588.2,539.5,672.2,1334.1,1723.4,1276.4,1526.5,1592.5,1802.3,2534.4,1358.7,1527.5,3007.4,2760.2,1341.4,1149.2,1279.4,1473.7,0.0,1127.4,383.9,870.4,1246.1,1164.8,961.2,1451.9,1478.4,1344.5,988.6,1185.4,1532.1,1454.3,1279.8,1357.3,1541.6,2196.3,967.0,854.8,708.7,712.0,1245.1,862.0,1136.6,1414.6,2281.5,1452.4,1777.6,1269.7,1903.1,2192.4,2297.7,957.6,2311.3,732.1,946.4,472.1,1153.8,378.3,1964.2,2138.2,2149.8,2735.3,1239.2,1065.7,2356.7,816.4,1329.0,3809.9,4230.1,4082.4,4018.3,3595.8,4080.9,2273.4,2183.0,2439.3,3487.4,1779.9,2346.2,3959.1,1884.8,2376.1,3782.5,3738.8,4219.6,3902.2,4358.4,3577.8,4345.2,1932.4,4321.4,3644.4,3853.2,4561.0,3795.7,4656.5
Point_48,2809.9,4945.0,2754.9,3033.7,2925.7,2850.2,2717.1,2631.2,2440.6,2664.9,2468.8,2912.0,2861.5,3664.5,2941.1,3107.0,2283.0,3143.7,2516.7,2588.8,2868.1,2430.6,2367.1,2467.8,2431.4,2355.6,2691.7,2794.0,4740.0,3809.2,760.5,893.2,1555.1,1944.4,1497.3,1747.5,1813.5,2023.3,2755.3,1579.6,1748.5,3228.4,2981.2,1562.4,1370.1,1500.4,1694.7,221.0,0.0,604.9,1091.4,1467.0,1385.8,1182.2,1672.9,1699.4,1565.5,1209.6,1406.4,1753.1,1675.3,1500.8,1578.3,1762.6,2417.3,1187.9,1075.8,929.7,933.0,1466.1,1082.9,1357.5,1635.6,2502.4,1673.4,1998.6,1490.7,2124.0,2413.4,2518.7,1178.6,2532.3,953.1,1167.4,693.1,1374.7,599.3,2185.2,2359.2,2370.7,2956.3,1460.1,1286.7,2577.7,1037.4,1550.0,4030.9,4451.1,4303.4,4239.3,3816.8,4301.9,2494.4,2404.0,2660.3,3708.4,2000.9,2567.2,4180.1,2105.8,2597.1,4003.5,3959.8,4440.6,4123.2,4579.4,3798.8,4566.2,2153.4,4542.4,3865.4,4074.2,4782.0,4016.7,4877.5
Point_49,3378.2,5513.4,3323.3,3602.1,3494.1,3418.6,3285.4,3199.6,3009.0,3233.3,3037.2,3480.4,3429.9,4232.9,3509.4,3675.4,2851.4,3712.1,3085.1,3157.2,3436.5,2999.0,2935.5,3036.2,2999.8,2924.0,3260.1,3362.4,5308.4,4377.6,1328.9,1461.6,2123.4,2512.8,2065.7,2315.9,2381.9,2591.7,3323.7,2148.0,2316.9,3796.8,3549.6,2130.8,1938.5,2068.8,2263.0,2137.8,1916.8,0.0,1659.8,862.1,1954.2,1750.5,2241.3,2267.8,2133.9,1778.0,1974.8,2321.5,2243.7,2069.2,2146.7,2331.0,2985.7,1756.3,1644.2,1498.0,1501.4,2034.5,1651.3,1925.9,2204.0,3070.8,2241.8,2567.0,2059.1,2692.4,2981.8,3087.1,1747.0,3100.7,1521.5,1735.8,1261.5,1943.1,1167.6,2753.6,2927.6,2939.1,3524.7,2028.5,1855.0,3146.0,1605.8,2118.4,4599.3,5019.5,4871.8,4807.7,4385.2,4870.3,3062.8,2972.3,3228.7,4276.8,2569.3,3135.6,4748.5,2674.2,3165.5,4571.9,4528.2,5009.0,4691.6,5147.8,4367.2,5134.6,2721.8,5110.8,4433.8,4642.6,5350.4,4585.1,5445.9
Point_50,3021.6,3953.8,3636.3,3915.1,3807.1,3622.2,4132.7,4061.9,3871.3,3546.3,3884.4,4342.7,4277.2,4545.9,4356.7,4522.7,3698.6,3843.5,3947.4,3470.2,3749.5,3846.2,3782.8,3898.5,3984.4,3786.3,4122.4,4224.6,3748.9,4690.6,1031.3,1164.0,1825.8,953.3,1768.1,2018.3,2084.3,2294.1,4186.0,1850.4,4187.2,4659.1,4411.9,571.3,379.0,509.2,703.5,491.8,270.8,875.7,0.0,1737.8,394.7,191.0,681.7,708.2,574.3,149.3,346.0,692.8,684.2,440.5,518.0,702.3,3848.0,1458.7,1346.6,1200.4,1203.8,388.5,1353.7,1628.3,1906.4,3933.1,637.7,962.8,820.4,1088.3,3844.1,3949.3,1449.4,3963.0,1223.9,1438.2,963.9,1645.5,870.0,4471.8,3789.8,1335.0,3587.1,469.0,295.5,4008.3,1308.2,489.6,3039.8,3459.9,3312.2,3248.2,2825.6,3310.7,3375.8,3049.8,2872.0,2717.2,3431.6,3213.1,3189.0,1070.1,3227.9,3012.4,2968.7,3449.5,3132.0,3588.3,2807.6,3575.0,3569.1,3551.2,2874.2,3083.0,3790.9,3025.6,3886.3
Point_51,2516.1,4651.3,2461.2,2740.0,2632.0,2556.5,2423.3,2337.5,2146.9,2371.2,2175.0,2618.3,2567.8,3370.8,2647.3,2813.3,1989.3,2850.0,2223.0,2295.1,2574.4,2136.9,2073.4,2174.1,2137.7,2061.9,2398.0,2500.3,4446.3,3515.5,466.8,599.5,1261.3,1650.7,1203.6,1453.8,1519.8,1729.6,2461.6,1285.9,1454.8,2934.7,2687.5,1268.7,1076.4,1206.7,1400.9,1275.7,1054.7,331.4,797.7,0.0,1092.1,888.4,1379.2,1405.7,1271.8,915.9,1112.6,1459.4,1381.6,1207.1,1284.6,1468.9,2123.6,894.2,782.1,635.9,639.3,1172.4,789.2,1063.8,1341.9,2208.7,1379.7,1704.9,1197.0,1830.3,2119.7,2224.9,884.9,2238.6,659.4,873.7,399.4,1081.0,305.5,1891.5,2065.5,2077.0,2662.6,1166.4,992.9,2283.9,743.7,1256.3,3737.2,4157.4,4009.7,3945.6,3523.0,4008.2,2200.7,2110.2,2366.6,3414.7,1707.2,2273.5,3886.4,1812.1,2303.4,3709.8,3666.1,4146.9,3829.4,4285.7,3505.1,4272.5,1859.7,4248.7,3571.6,3780.5,4488.3,3723.0,4583.8
Point_52,2626.9,3559.2,3241.6,3520.4,3412.4,3227.6,3738.1,3667.2,3476.6,3151.6,3489.8,3948.0,3882.5,4151.2,3962.0,4128.0,3304.0,3448.9,3552.7,3075.5,3354.8,3451.6,3388.1,3503.8,3589.7,3391.6,3727.7,3830.0,3354.2,4295.9,1340.4,1473.1,2135.0,558.6,2077.2,2327.4,2393.4,2603.2,3791.3,2159.5,3792.5,4264.4,4017.2,880.4,688.1,818.4,1012.6,800.9,579.9,1184.8,309.1,2046.9,0.0,203.7,287.1,313.6,179.6,458.4,456.7,791.5,993.3,551.1,628.6,812.9,3453.3,1767.8,1655.7,1509.6,1512.9,697.6,1662.8,1937.4,2215.5,3538.4,946.8,2529.5,1129.5,1397.4,3449.4,3554.7,1758.5,3568.3,1533.0,1747.3,1273.0,1954.6,1179.1,4077.1,3395.2,2759.8,3192.4,206.6,604.6,3613.6,1617.3,480.1,2645.1,3065.3,2917.6,2853.5,2430.9,2916.1,2981.1,2655.2,2477.4,2322.5,3036.9,2818.4,2794.3,2494.9,2833.2,2617.7,2574.0,3054.8,2737.3,3193.6,2413.0,3180.4,3174.4,3156.6,2479.5,2688.4,3396.2,2630.9,3491.7
Point_53,2830.6,3762.8,3445.3,3724.1,3616.1,3431.2,3941.7,3870.9,3680.3,3355.3,3693.4,4151.7,4086.2,4354.9,4165.7,4331.7,3507.6,3652.5,3756.4,3279.2,3558.5,3655.2,3591.8,3707.5,3793.4,3595.3,3931.4,4033.6,3557.9,4499.6,1136.8,1269.4,1931.3,762.2,1873.6,2123.7,2189.7,2399.5,3995.0,1955.9,3996.2,4468.1,4220.9,676.7,484.4,614.7,809.0,597.2,376.2,981.2,105.5,1843.3,203.7,0.0,490.7,517.2,383.3,254.7,451.5,798.2,789.6,545.9,623.4,807.7,3657.0,1564.2,1452.0,1305.9,1309.2,494.0,1459.2,1733.8,2011.8,3742.1,743.1,1068.3,925.9,1193.8,3653.1,3758.3,1554.8,3772.0,1329.4,1543.6,1069.4,1751.0,975.5,4280.8,3598.8,2963.5,3396.1,278.0,401.0,3817.3,1413.7,595.1,2848.8,3268.9,3121.2,3057.2,2634.6,3119.7,3184.8,2858.8,2681.0,2526.2,3240.6,3022.1,2998.0,1175.5,3036.9,2821.4,2777.7,3258.5,2941.0,3397.2,2616.6,3384.0,3378.1,3360.2,2683.2,2892.0,3599.9,2834.6,3695.3
Point_54,2339.8,3272.1,2954.5,3233.4,3125.4,2940.5,3451.0,3380.1,3189.5,2864.5,3202.7,3660.9,3595.4,3864.2,3675.0,3840.9,3016.9,3161.8,3265.6,2788.4,3067.7,3164.5,3101.0,3216.7,3302.7,3104.6,3440.6,3542.9,3067.1,4008.8,1627.5,1760.2,2422.0,271.5,2364.3,2614.5,3756.4,3784.7,3504.3,3674.4,3505.5,3977.3,3730.1,1167.5,975.2,1105.4,1299.7,1088.0,867.0,1471.9,596.2,2334.0,287.1,490.7,0.0,323.1,466.7,745.5,743.7,805.5,1280.4,838.2,915.7,1100.0,3166.2,2054.9,1942.8,1796.6,1800.0,984.7,1949.9,2224.5,3115.2,3251.4,1233.9,2242.4,1416.6,2367.9,3162.3,3267.6,2045.5,3281.2,1820.1,2034.4,1560.1,2241.7,1466.2,3790.0,3108.1,2472.7,2905.3,493.6,891.7,3326.6,1904.4,564.6,2358.0,2778.2,2630.5,2566.4,2143.9,2629.0,2694.1,2368.1,2190.3,2035.5,2749.8,2531.3,2507.2,2207.8,2546.1,2330.6,2286.9,2767.7,2450.3,2906.5,2125.9,2893.3,2887.3,2869.5,2192.5,2401.3,3109.1,2343.8,3204.6
Point_55,2492.2,3424.4,3106.9,3385.7,3277.7,3092.8,3603.3,3532.4,3341.9,3016.8,3355.0,3813.3,3747.8,4016.5,3827.3,3993.2,3169.2,3314.1,3417.9,2940.8,3220.1,3316.8,3253.4,3369.1,3455.0,3256.9,3592.9,3695.2,3219.4,4161.2,1654.0,1786.7,2448.5,423.8,2390.8,2641.0,3908.7,3937.1,3656.6,3826.7,3657.8,4129.6,3882.4,876.2,696.4,826.7,962.7,1114.5,893.5,1498.4,622.7,2360.5,313.6,517.2,323.1,0.0,133.9,416.3,561.8,482.4,763.3,616.3,621.2,696.3,3318.5,2081.4,1969.3,1823.1,1826.5,1011.2,1976.4,2251.0,3267.5,3403.7,1038.4,2394.8,1221.1,2520.2,3314.6,3419.9,2072.0,3433.6,1846.6,2060.9,1586.6,2268.2,1492.7,3942.4,3260.4,2625.0,3057.7,520.1,918.2,3478.9,1930.9,241.5,2510.4,2930.5,2782.8,2718.7,2296.2,2781.3,2846.4,2520.4,2342.6,2187.8,2902.2,2683.7,2659.6,2360.1,2698.5,2482.9,2439.2,2920.0,2602.6,3058.8,2278.2,3045.6,3039.6,3021.8,2344.8,2553.6,3261.5,2496.1,3356.9
Point_56,2806.6,3738.8,3421.3,3700.1,3592.1,3407.2,3917.7,3846.8,3656.3,3331.3,3669.4,4127.7,4062.2,4330.9,4141.7,4307.6,3483.6,3628.5,3732.3,3255.2,3534.5,3631.2,3567.8,3683.5,3769.4,3571.3,3907.4,4009.6,3533.8,4475.6,1520.1,1652.8,2314.6,738.2,2256.9,2507.1,2573.0,4251.5,3971.0,2339.2,3972.2,4444.0,4196.8,752.7,560.4,690.7,884.9,980.5,759.5,1364.5,488.8,2226.6,179.6,383.3,466.7,133.9,0.0,282.4,425.7,611.9,892.8,532.3,609.8,794.1,3632.9,1947.5,1835.4,1689.2,1692.6,877.3,1842.5,2117.1,2395.1,3718.1,1126.4,2709.2,1309.2,2834.6,3629.0,3734.3,1938.1,3748.0,1712.7,1927.0,1452.7,2134.3,1358.8,4256.8,3574.8,2939.4,3372.1,386.2,784.3,3793.3,1797.0,300.5,2824.8,3244.9,3097.2,3033.1,2610.6,3095.7,3160.8,2834.8,2657.0,2502.2,3216.6,2998.1,2974.0,2674.5,3012.9,2797.3,2753.6,3234.4,2917.0,3373.2,2592.6,3360.0,3354.0,3336.2,2659.2,2868.0,3575.9,2810.5,3671.3
Point_57,3070.6,4002.8,3685.3,3964.1,3856.1,3671.2,4181.7,4110.9,3920.3,3595.3,3933.4,4391.7,4326.2,4594.9,4405.7,4571.7,3747.7,3892.5,3996.4,3519.2,3798.5,3895.2,3831.8,3947.5,4033.4,3835.3,4171.4,4273.6,3797.9,4739.6,1180.6,1313.3,1975.1,1002.3,1917.4,2167.6,2233.5,2443.3,4235.0,1999.7,4236.2,4708.1,4460.9,523.7,331.4,461.7,655.9,641.0,420.0,1025.0,149.3,1887.1,443.7,240.0,730.8,416.3,282.4,0.0,196.7,543.5,636.6,291.2,368.7,553.0,3897.0,1608.0,1495.9,1349.7,1353.1,537.8,1503.0,1777.6,2055.6,3982.1,685.9,1011.0,868.6,1136.5,3893.1,3998.3,1598.6,4012.0,1373.2,1587.5,1113.2,1794.8,1019.3,4520.8,3838.8,1383.2,3636.1,518.0,444.8,4057.3,1457.5,340.4,3088.8,3508.9,3361.2,3297.2,2874.6,3359.8,3424.8,3098.8,2921.0,2766.2,3480.6,3262.1,3238.0,1118.3,3276.9,3061.4,3017.7,3498.5,3181.0,3637.3,2856.6,3624.0,3618.1,3600.2,2923.2,3132.0,3839.9,3074.6,3935.3
Point_58,1474.1,2406.4,2088.8,2367.6,2259.7,2074.8,2585.3,2514.4,2323.8,1998.8,2337.0,2795.2,2729.7,2998.4,2809.3,2975.2,2151.2,2296.1,2399.9,1922.7,2202.0,2298.8,2235.3,2351.0,2436.9,2238.8,2574.9,2677.2,2201.4,3143.1,1377.3,1510.0,837.4,1199.0,2114.1,2364.3,2430.3,2919.0,2638.5,2196.4,2639.7,3111.6,2864.4,327.0,134.7,264.9,459.2,837.8,616.8,1221.7,346.0,2083.8,640.4,436.8,927.5,561.8,425.7,196.7,0.0,373.2,400.6,94.5,172.0,356.2,2300.5,1096.2,1017.5,1546.4,1549.8,734.5,1699.7,805.0,1083.1,2385.6,489.1,814.3,671.9,939.8,2296.6,2401.9,1795.4,2415.5,1569.9,1784.2,1309.9,1991.5,1216.0,2924.3,2242.4,1186.5,1310.5,714.7,410.8,2460.8,1654.2,442.8,1492.3,1912.5,1764.8,1700.7,1278.2,1763.3,1828.3,1502.4,1324.6,1169.8,1884.1,1665.6,1641.5,921.5,1680.4,1464.9,1421.2,1902.0,1584.5,2040.8,1260.2,2027.6,2021.6,2003.8,1326.7,1535.6,2243.4,1478.1,2338.9
Point_59,1495.2,2427.5,2109.9,2388.8,2280.8,2095.9,2606.4,2535.5,2344.9,2019.9,2358.1,2816.3,2750.8,3019.6,2830.4,2996.3,2172.3,2317.2,2421.0,1943.8,2223.1,2319.9,2256.4,2372.1,2458.1,2260.0,2596.0,2698.3,2222.5,3164.2,1724.1,1334.9,904.2,684.9,1948.2,2198.4,2911.8,2940.1,2659.7,2829.8,2660.9,3132.7,2885.5,393.8,507.9,455.8,480.3,1184.5,963.5,1568.5,692.8,2430.6,791.5,783.5,805.5,482.4,611.9,543.5,373.2,0.0,280.9,278.7,215.3,213.8,2321.6,1163.0,1084.3,1227.4,1296.4,1081.3,1146.4,871.8,1149.9,2406.8,556.0,881.1,738.7,1006.6,2317.7,2423.0,1364.6,2436.6,1404.0,1618.3,1656.7,1825.6,1562.8,2945.4,2263.5,1253.3,1377.3,1061.5,784.0,2482.0,1225.0,395.8,1513.4,1933.6,1785.9,1721.8,1299.3,1784.4,1849.5,1523.5,1345.7,1190.9,1905.2,1686.7,1662.6,988.4,1701.5,1486.0,1442.3,1923.1,1605.7,2061.9,1281.3,2048.7,2042.7,2024.9,1347.9,1556.7,2264.5,1499.2,2360.0
Point_60,1260.1,2192.3,1874.7,2153.6,2045.6,1860.7,2371.2,2300.3,2109.8,1784.7,2122.9,2581.1,2515.7,2784.4,2595.2,2761.1,1937.1,2082.0,2185.8,1708.7,1987.9,2084.7,2021.2,2136.9,2222.9,2024.8,2360.8,2463.1,1987.3,2929.1,1115.1,1054.0,623.4,965.8,1667.3,1917.5,2676.6,2704.9,2424.5,2594.6,2425.7,2897.5,2650.3,112.9,305.2,174.9,245.1,1167.7,946.7,1551.6,689.7,2413.7,984.1,780.4,1271.2,763.3,838.4,597.3,400.6,280.9,0.0,306.1,228.6,194.6,2086.4,882.1,803.4,946.5,1015.5,1064.4,865.5,590.9,869.0,2171.6,275.1,600.2,457.8,725.7,2082.5,2187.8,1083.7,2201.4,1123.1,1337.4,1639.8,1544.7,1545.9,2710.2,2028.3,972.4,1096.4,1058.4,600.1,2246.8,944.1,676.7,1278.2,1698.4,1550.7,1486.6,1064.1,1549.2,1614.3,1288.3,1110.5,955.7,1670.0,1451.5,1427.4,707.5,1466.4,1250.8,1207.1,1687.9,1370.5,1826.7,1046.1,1813.5,1807.5,1789.7,1112.7,1321.5,2029.3,1264.0,2124.8
Point_61,1504.2,2436.4,2118.8,2397.7,2289.7,2104.8,2615.3,2544.4,2353.9,2028.8,2367.0,2825.2,2759.8,3028.5,2839.3,3005.2,2181.2,2326.1,2429.9,1952.8,2232.0,2328.8,2265.3,2381.1,2467.0,2268.9,2604.9,2707.2,2231.4,3173.2,1471.8,1604.5,867.5,818.7,2208.6,2458.8,2524.7,2949.0,2668.6,2838.7,2669.8,3141.6,2894.4,357.0,229.1,294.9,489.2,932.2,711.3,1316.2,440.5,2178.3,734.9,531.2,1022.0,616.3,532.3,291.2,94.5,278.7,306.1,0.0,77.5,261.8,2330.5,1126.2,1047.5,1190.6,1644.3,829.0,1109.6,835.0,1113.1,2415.7,519.2,844.3,701.9,969.8,2326.6,2431.9,1327.8,2445.5,1664.4,1878.7,1404.4,2086.0,1310.5,2954.3,2272.4,1216.5,1340.5,809.2,505.2,2490.9,1188.2,529.7,1522.3,1942.5,1794.8,1730.7,1308.2,1793.3,1858.4,1532.4,1354.6,1199.8,1914.1,1695.6,1671.5,951.6,1710.5,1494.9,1451.2,1932.0,1614.6,2070.8,1290.2,2057.6,2051.6,2033.8,1356.8,1565.6,2273.4,1508.1,2368.9
Point_62,1465.7,2397.9,2080.4,2359.2,2251.2,2066.3,2576.8,2506.0,2315.4,1990.4,2328.5,2786.8,2721.3,2990.0,2800.8,2966.8,2142.7,2287.6,2391.5,1914.3,2193.6,2290.3,2226.9,2342.6,2428.5,2230.4,2566.5,2668.7,2193.0,3134.7,1549.3,1682.0,852.0,823.7,2286.1,2536.3,2882.2,2910.6,2630.1,2800.2,2631.3,3103.2,2856.0,341.5,306.6,372.4,450.7,1009.7,788.8,1393.7,518.0,2255.8,812.4,608.7,1099.5,621.2,609.8,368.7,172.0,215.3,228.6,77.5,0.0,184.3,2292.1,1110.8,1032.1,1175.1,1721.8,906.5,1094.2,819.5,1097.6,2377.2,503.7,828.8,686.4,954.3,2288.2,2393.4,1312.3,2407.1,1741.9,1956.2,1481.9,2163.5,1388.0,2915.9,2233.9,1201.0,1325.0,886.7,582.7,2452.4,1172.7,534.6,1483.9,1904.0,1756.3,1692.3,1269.7,1754.8,1819.9,1493.9,1316.1,1161.3,1875.7,1657.2,1633.1,936.1,1672.0,1456.5,1412.8,1893.6,1576.1,2032.4,1251.7,2019.1,2013.2,1995.3,1318.3,1527.1,2235.0,1469.7,2330.4
