,Point_0,Point_1,Point_2,Point_3,Point_4,Point_5,Point_6,Point_7,Point_8,Point_9,Point_10,Point_11,Point_12,Point_13,Point_14,Point_15,Point_16,Point_17,Point_18,Point_19,Point_20,Point_21,Point_22,Point_23,Point_24,Point_25,Point_26,Point_27,Point_28,Point_29,Point_30,Point_31,Point_32,Point_33,Point_34,Point_35,Point_36,Point_37,Point_38,Point_39,Point_40,Point_41,Point_42,Point_43,Point_44,Point_45,Point_46,Point_47,Point_48,Point_49,Point_50,Point_51,Point_52,Point_53,Point_54,Point_55,Point_56,Point_57,Point_58,Point_59,Point_60,Point_61,Point_62,Point_63,Point_64,Point_65,Point_66,Point_67,Point_68,Point_69,Point_70,Point_71,Point_72,Point_73,Point_74,Point_75,Point_76,Point_77,Point_78,Point_79,Point_80,Point_81,Point_82,Point_83,Point_84,Point_85,Point_86,Point_87,Point_88,Point_89,Point_90,Point_91,Point_92,Point_93,Point_94,Point_95,Point_96,Point_97,Point_98,Point_99,Point_100,Point_101,Point_102,Point_103,Point_104,Point_105,Point_106,Point_107,Point_108,Point_109,Point_110,Point_111,Point_112,Point_113,Point_114,Point_115,Point_116,Point_117,Point_118,Point_119,Point_120,Point_121,Point_122,Point_123,Point_124
Point_31,1915.4,2847.7,1860.5,2139.3,2031.3,1955.8,1822.6,1736.8,1546.2,1770.5,1574.3,2017.6,1967.1,2770.1,2046.6,2212.6,1388.5,2249.3,1622.3,1694.4,1973.7,1536.1,1472.7,1573.4,1537.0,1461.2,1797.3,1899.5,2642.7,2914.8,276.7,0.0,660.6,1743.6,891.3,1141.5,1207.5,1417.3,1860.9,973.6,1142.5,2334.0,2086.8,941.2,1169.3,1003.2,1073.4,1368.6,1147.6,1752.5,890.6,2614.6,1185.0,981.4,1472.1,1498.6,1364.7,1008.8,1205.6,1334.9,1054.0,1300.0,1377.5,1248.7,1522.9,337.5,226.7,107.5,456.0,1265.3,306.1,463.1,741.2,1608.0,779.0,1104.1,596.2,1229.6,1519.0,1624.2,307.7,1637.9,347.1,561.4,200.1,768.7,1746.8,1579.2,1464.7,1476.3,2061.9,1259.3,1085.9,1683.2,168.1,1349.2,2342.1,2762.2,2614.5,2142.0,1909.1,2204.6,1600.0,1509.5,1765.8,2019.5,1106.5,1672.8,2491.3,1211.4,1702.7,1951.1,1862.5,2343.3,2215.5,2641.5,2109.9,2468.9,1259.0,2445.1,2176.5,1976.8,2684.7,2327.8,2780.1
Point_32,1398.0,2330.3,1343.1,1621.9,1513.9,1438.4,1305.2,1219.4,1028.8,1253.1,1056.9,1500.2,1449.7,2252.7,1529.2,1695.2,871.1,1731.9,1104.9,1177.0,1456.3,1018.7,955.3,1056.0,1019.6,943.8,1279.9,1382.1,2125.3,2397.4,721.7,660.6,0.0,1919.5,1670.3,1924.7,1595.6,1624.0,1343.5,1513.6,1344.7,1816.6,1569.4,510.5,702.8,572.5,642.7,1544.5,1323.5,1928.4,1066.5,2790.5,1360.9,1157.3,1648.0,1674.5,1540.6,1184.7,837.4,904.2,623.4,867.5,852.0,818.0,1005.5,381.9,410.0,553.1,622.0,1441.2,472.1,197.5,223.8,1090.6,348.3,673.4,165.6,798.9,1001.6,1106.8,559.1,1120.5,729.7,944.0,860.7,1151.3,1922.8,1629.3,947.3,1616.8,1544.5,1435.3,690.5,1165.8,550.7,1525.1,1824.7,2244.8,2097.1,1624.6,1391.7,1687.2,1082.6,992.1,1248.4,1502.1,589.1,1155.4,1973.9,780.7,1185.3,1433.7,1345.1,1825.9,1698.1,2124.1,1592.5,1951.5,741.6,1927.7,1659.1,1459.4,2167.3,1810.4,2262.7
Point_33,2072.4,3004.6,2687.1,2965.9,2857.9,2673.0,3183.5,3112.6,2922.1,2597.0,2935.2,3393.5,3328.0,3596.7,3407.5,3573.4,2749.4,2894.3,2998.1,2521.0,2800.3,2897.0,2833.6,2949.3,3035.2,2837.1,3173.1,3275.4,2799.6,3741.4,1899.0,2031.7,3071.4,0.0,3563.6,3818.0,3488.9,3517.3,3236.8,3406.9,3238.0,3709.8,3462.6,1439.0,1246.7,1376.9,1817.6,1359.5,1138.5,1743.4,867.7,2605.5,558.6,762.2,271.5,423.8,738.2,1017.0,1015.3,684.9,965.8,818.7,823.7,898.7,2898.7,2326.4,2214.3,2068.1,2071.5,1256.2,2221.4,2496.0,2847.7,2983.9,1505.4,1974.9,1688.1,2100.4,2894.8,3000.1,2317.1,3013.8,2091.6,2305.9,1831.6,2513.2,1737.7,3522.6,2840.6,2205.2,2637.9,765.2,1163.2,3059.1,2175.9,665.3,2090.6,2510.7,2363.0,2298.9,1876.4,2361.5,2426.6,2100.6,1922.8,1768.0,2482.4,2263.9,2239.8,1940.3,2278.7,2063.1,2019.4,2500.2,2182.8,2639.0,1858.4,2625.8,2619.8,2602.0,1925.0,2133.8,2841.7,2076.3,2937.1
Point_34,1883.8,2816.0,1828.8,2107.6,1999.6,1924.1,1791.0,1260.4,1069.8,1738.8,1542.7,1653.1,1935.4,2992.3,2015.0,2541.4,1356.9,2217.6,1257.7,1662.7,1942.0,1504.5,1441.0,1208.9,1294.8,1096.7,1432.7,1535.0,2611.0,3137.0,1163.8,891.3,1681.1,2347.7,0.0,254.4,320.4,530.2,516.9,156.7,325.6,1137.7,890.5,1554.4,1773.5,1903.7,2522.6,1972.7,1751.7,2356.6,1494.7,1785.4,1789.2,1585.5,2076.2,2102.7,1968.8,1612.9,1809.7,2156.4,1667.3,1904.2,1981.7,2789.1,664.8,976.0,863.9,1010.0,1336.3,1869.5,1233.0,1076.4,1457.4,861.2,1392.2,2209.2,1209.5,2334.6,1504.5,1160.2,864.4,782.6,544.2,329.9,804.2,252.6,2351.0,692.1,1050.2,2102.5,2030.2,1863.5,1690.0,1018.4,723.2,1953.3,2310.4,2730.5,2582.8,2110.3,1877.4,2172.9,1568.3,1477.9,1734.2,1987.8,1092.0,1641.1,2459.6,2174.5,1671.0,1919.4,1830.8,2311.6,2183.8,2609.8,2078.2,2437.2,1227.3,2413.4,2144.8,1945.2,2653.0,2296.2,2748.5
Point_35,2138.2,3070.4,2083.2,2362.0,2254.1,2178.5,2045.4,1514.8,1324.2,1993.2,1797.1,1907.5,2189.8,3246.8,2269.4,2795.8,1611.3,2472.0,1512.1,1917.1,2196.4,1758.9,1695.4,1463.3,1549.2,1351.1,1687.2,1789.4,2865.4,3391.4,1414.0,1141.5,1935.5,2597.9,254.4,0.0,218.4,275.8,470.5,411.1,580.0,850.6,728.9,1804.6,2023.6,2153.9,2777.0,2222.9,2001.9,2606.8,1744.9,2035.6,2039.3,1835.7,2326.4,2352.9,2219.0,1863.1,2059.9,2406.6,1917.5,2154.3,2231.8,3043.5,919.2,1226.2,1114.0,1260.2,1586.5,2119.6,1483.1,1326.5,1711.8,1115.6,1642.4,2463.6,1459.7,2589.1,1758.9,1414.7,1114.5,1037.0,794.4,580.1,1054.4,502.7,2601.1,437.7,1304.6,2356.9,2284.6,2113.6,1940.2,1272.8,973.4,2203.5,2564.8,2985.0,2837.3,2364.7,2131.9,2427.3,1822.7,1732.3,1988.6,2242.2,1346.5,1895.5,2714.0,2428.9,1925.4,2173.8,2085.2,2566.0,2438.3,2864.3,2332.7,2691.6,1481.7,2667.8,2399.2,2199.6,2907.5,2550.6,3002.9
Point_36,1809.1,2741.3,1754.1,2033.0,1925.0,1849.4,1716.3,1185.7,995.2,1664.1,1468.0,1578.4,1860.8,2917.7,1940.3,2466.7,1282.2,2142.9,1183.1,1588.1,1867.3,1429.8,1366.4,1134.2,1220.1,1022.0,1358.1,1460.3,2536.4,3062.4,1480.0,1207.5,1606.5,3529.1,320.4,236.0,0.0,288.3,252.1,291.1,460.0,767.0,566.5,2580.2,2089.6,2642.2,2447.9,2288.9,2067.9,2672.8,1810.9,2101.5,2105.3,1901.6,2392.4,2418.9,2285.0,1929.1,2125.8,2928.2,2693.0,2220.3,2297.8,2714.4,590.2,1292.1,1180.0,1326.2,1652.5,2185.6,1935.4,1660.8,1382.7,786.5,1976.6,2134.5,1793.9,2260.0,1429.9,1082.8,1180.5,705.2,860.4,646.1,1120.4,568.7,2667.1,450.2,972.8,2027.9,1955.6,2179.6,2006.1,941.0,1039.4,2269.5,2235.7,2655.9,2508.2,2035.7,1802.8,2098.2,1493.7,1403.2,1659.5,1913.2,1017.4,1566.5,2384.9,2099.9,1596.4,1844.7,1756.2,2237.0,2109.2,2535.2,2003.6,2362.5,1152.6,2338.7,2070.2,1870.5,2578.4,2221.5,2673.8
Point_37,1837.4,2769.7,1782.5,2061.3,1953.3,1877.8,1744.6,1214.1,1023.5,1692.5,1496.3,1606.7,1889.1,2946.0,1968.6,2495.1,1310.6,2171.3,1211.4,1616.4,1895.7,1458.2,1394.7,1162.5,1248.5,1050.4,1386.4,1488.7,2564.7,3090.7,1689.8,1417.3,1634.8,3557.4,530.2,275.8,288.3,0.0,280.5,686.9,855.8,574.9,453.2,2608.5,2299.4,2670.5,2476.3,2498.6,2277.6,2882.6,2020.7,2311.3,2315.1,2111.4,2602.2,3977.2,2494.7,2138.9,2335.6,2956.6,2721.4,2430.1,2927.0,2742.7,618.5,1501.9,1389.8,1536.0,1862.3,2395.4,1963.7,1689.1,1411.0,814.9,2005.0,2162.8,1822.2,2288.3,1458.2,1111.1,1390.3,733.5,1070.1,855.9,1330.1,778.5,2876.9,161.9,1001.1,2056.2,1983.9,2389.4,2215.9,969.3,1249.2,2479.3,2264.1,2684.2,2536.5,2064.0,1831.1,2126.6,1522.0,1431.5,1687.9,1941.5,1045.7,1594.8,2413.3,2128.2,1624.7,1873.1,1784.5,2265.3,2137.5,2563.5,2031.9,2390.9,1181.0,2367.1,2098.5,1898.9,2606.7,2249.9,2702.2
Point_38,1557.0,2489.2,1502.0,1780.8,1672.9,1597.3,1464.2,933.6,743.0,1412.0,1215.9,1326.3,1608.6,2665.5,1688.2,2214.6,1030.1,1890.8,930.9,1335.9,1615.2,1177.7,1114.2,882.1,968.0,769.9,1105.9,1208.2,2284.2,2810.2,1932.8,1871.7,1354.3,3276.9,516.9,493.1,252.1,280.5,0.0,360.2,339.1,759.1,544.7,2328.0,2520.3,2390.1,2195.8,2755.6,2534.6,3139.5,2277.6,4001.7,3831.5,2368.4,3544.4,3696.7,4011.1,2395.8,2655.0,2676.1,2440.9,2685.0,2646.5,2462.3,338.0,1509.6,1621.1,1764.2,1833.2,2652.4,1683.2,1408.6,1130.6,534.4,1724.5,1882.4,1541.8,2007.8,1177.7,830.7,1686.9,453.1,986.7,772.4,1246.7,695.0,3133.9,442.4,720.7,1775.7,1703.4,2646.4,2066.7,688.8,1761.8,3253.3,1983.6,2403.8,2256.0,1783.5,1550.6,1846.1,1241.5,1151.1,1407.4,1661.0,765.2,1314.3,2132.8,1847.7,1344.2,1592.6,1504.0,1984.8,1857.0,2283.1,1751.5,2110.4,900.5,2086.6,1818.0,1618.4,2326.2,1969.4,2421.7
Point_39,1727.1,2659.3,1672.1,1950.9,1843.0,1767.4,1634.3,1103.7,913.1,1582.1,1386.0,1496.4,1778.7,2835.6,1858.3,2384.7,1200.2,2060.9,1101.0,1506.0,1785.3,1347.8,1284.3,1052.2,1138.1,940.0,1276.1,1378.3,2454.3,2980.3,1246.1,973.6,1524.4,3447.0,156.7,411.1,291.1,686.9,360.2,0.0,168.9,981.0,733.8,2498.1,1855.8,2560.2,2365.9,2055.0,1834.0,2438.9,1577.0,1867.7,1871.4,1667.8,2158.5,2185.0,2051.1,1695.2,1892.0,2846.2,2611.0,1986.5,2064.0,2632.4,508.1,1058.3,946.2,1092.3,1418.6,1951.8,1853.3,1578.7,1300.7,704.5,1894.6,2052.5,1711.9,2178.0,1347.8,1003.5,946.7,625.9,626.5,412.2,886.5,334.9,2433.3,848.8,893.5,1945.8,1873.5,1945.8,1772.3,861.7,805.5,2035.6,2153.7,2573.9,2426.1,1953.6,1720.7,2016.2,1411.6,1321.2,1577.5,1831.1,935.3,1484.4,2302.9,2017.8,1514.3,1762.7,1674.1,2154.9,2027.1,2453.2,1921.6,2280.5,1070.6,2256.7,1988.1,1788.5,2496.3,2139.5,2591.8
Point_40,1558.2,2490.4,1503.2,1782.0,1674.1,1598.5,1465.4,934.8,744.2,1413.2,1217.1,1327.5,1609.8,2666.8,1689.4,2215.8,1031.3,1892.0,932.1,1337.1,1616.4,1178.9,1115.4,883.3,969.2,771.1,1107.2,1209.4,2285.4,2811.4,1934.0,1142.5,1355.5,3278.1,325.6,580.0,460.0,855.8,339.1,168.9,0.0,812.1,564.9,2329.2,2521.5,2391.3,2197.0,2756.8,2535.8,3140.8,2278.8,2036.6,3832.7,2369.6,3545.6,3697.9,4012.3,2397.1,2656.2,2677.3,2442.1,2686.2,2647.8,2463.5,339.2,1510.9,1622.3,1765.4,1834.4,2653.6,1684.4,1409.8,1131.8,535.6,1725.7,1883.6,1543.0,2009.1,1178.9,831.9,1115.6,454.3,795.4,581.1,1055.4,503.8,3135.1,624.8,721.9,1776.9,1704.6,2647.6,2067.9,690.1,974.4,3254.5,1984.8,2405.0,2257.3,1784.7,1551.9,1847.3,1242.7,1152.3,1408.6,1662.2,766.4,1315.5,2134.0,1848.9,1345.4,1593.8,1505.2,1986.0,1858.2,2284.3,1752.7,2111.6,901.7,2087.8,1819.2,1619.6,2327.5,1970.6,2422.9
